Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
;;;;;;;
;;;;;;;
Historia Universal;El Tiempo;;El Tiempo;Colombia;CHU-001; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 1.;Salvat;1976;Salvat editores S.A;España;CHU-002; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 2.;Salvat;1976;Salvat editores S.A;España;CHU-003; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 3.;Salvat;1976;Salvat editores S.A;España;CHU-004; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 4.;Salvat;1976;Salvat editores S.A;España;CHU-005; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 5.;Salvat;1976;Salvat editores S.A;España;CHU-006; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 6.;Salvat;1976;Salvat editores S.A;España;CHU-007; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 7.;Salvat;1976;Salvat editores S.A;España;CHU-008; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 8.;Salvat;1976;Salvat editores S.A;España;CHU-009; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 9.;Salvat;1976;Salvat editores S.A;España;CHU-010; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 10.;Salvat;1976;Salvat editores S.A;España;CHU-011; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 11.;Salvat;1976;Salvat editores S.A;España;CHU-012; Cultura y espacio urbano;Cultura e Historia Universal
Historia del arte. Tomo 12.;Salvat;1976;Salvat editores S.A;España;CHU-013; Cultura y espacio urbano;Cultura e Historia Universal
Hisotoria del Arte. Tomo 1;Salvat;1976;Salvat Mexicana de Ediciones S.A de C.V;México;CHU-014; Cultura y espacio urbano;Cultura e Historia Universal
Hisotoria del Arte. Tomo 3;Salvat;1976;Salvat Mexicana de Ediciones S.A de C.V;México;CHU-015; Cultura y espacio urbano;Cultura e Historia Universal
Relatos del nuevo mundo. El esplendor de la Cultura Maya. Leyenda de Ahau;Sociedad Estatal Quinto Centenario;1992;Planeta Agostini Quinto Centenario;España;CHU-016; Cultura y espacio urbano;Cultura e Historia Universal
Relatos del nuevo mundo. La civilización Inca. Los hijos del Sol;Sociedad Estatal Quinto Centenario;1992;Planeta Agostini Quinto Centenario;España;CHU-017; Cultura y espacio urbano;Cultura e Historia Universal
Historia del hombre. Civilizaciones e imperios del Oriente Medio.;Longanesi, Caterina;1987;Ediciones SM;España;CHU-018; Cultura y espacio urbano;Cultura e Historia Universal
Historia del hombre. Las grandes civilizaciones de Asia.;Longanesi, Caterina;1987;Ediciones SM;España;CHU-019; Cultura y espacio urbano;Cultura e Historia Universal
Historia del hombre. El mundo del Islman, desde los origines hasta el Siglo XVI;Colombo, Mónica;1992;Ediciones SM;España;CHU-020; Cultura y espacio urbano;Cultura e Historia Universal
Egipto de la prehistoria a los romanos;Wildung, Dietrich;1992;Taschen;Italia;CHU-021; Cultura y espacio urbano;Cultura e Historia Universal
