Titulo;Autor;Editorial;Año
"""Anotaciones históricas a la ley de restitución de tierras""";Cristina Diaz Diaz, Ada López Bayona;;2012
#ENRIESGO#ALTOFUCHA;;Ana Lopez Ortego;2019
¿Porque Fracasa Colombia? Delirios de una Nacion que se desconoce a sí misma;Enrique Serrano;Planeta;2016
Analisis Geograficos, Proceso de urbanizacion en colombia;;Instituto Geografico Agustin Codazzi;1988
Antiguas Culturas del Peru;;Colsubsidio;2000
Arquitectura Urbana Elementos de Teoria y Diseño;Carlos Martinez Caro;Universidad Navarra;1985
artBo: Feria internacioal de arte de Bogotá 2005;;Camara de comercio de Bogotá;2005
Artesano iron works;;;2009
Bitacora N1;;Universidad Nacional de Colombia;1997
Bitacora N2;;Universidad Nacional de Colombia;1998
Boletin Cultural y Bibliografico;;Banco de la Republica de Colombia;2022
Calidad de la vivienda dirigida a los sectores de bajos ingresos en Bogotá;Doris Tarchópulos Sierra, Olga Lucia Ceballos Ramos;Centro Editorial Javeriano (CEJA);2003
Cartagena de indias;;Bienal internacional de arte contemporaneo Cartagena de indias;2014
Ciudad Collage;Colin Rowe, Fred Koetter;Gustavo Gili;1998
Cocinas del pacifico: Saberes y recorridos;;Banco de la Republica;2021
Conservación del patrimonio cultural y desarrollo sostenible, libro de memorias.;Mariana Lopez Mendoza;Restauradores sin fronteras;2012
Construyendo Opinión, Desde la academia, la dirigencia gremialy la actividad empresarial;Sergio Mutis Caballero;;2007
Decreto 364, Plan de ordenamiento territorial;;Alcaldia mayor de Bogotá D.C.;2013
Dialogos Tomo III;Platon;Ediciones Universales;1992
Diseño industrial: Artefacto y proyecto;Gui Bonsiepe;Alberto Corazon;1975
El Espacio público en barrios incompletos de vivienda popular: Estudio de caso en Funza, Mosquera y Madrid;Gedma Estela Rodriguez B.;Universidad La Gran Colombia;2010
El significado de los lugares públicos para la gente de Bogotá;;Universidad Pedagogica Nacional;2007
En Camino de Renovación;Hermanas de la Caridad Dominicas de la Presentación de la Santísima Virgen;Editorial Kimpres Ltda;2008
Ensayos, Historia y Teoría del arte;;Universidad Nacional de Colombia;2004
Escapadas por Colombia: Lugares maravillosos que no te puedes perder;Filiberto Pinzón;El tiempo;2015
Estudio de factibilidad y realización de un sistema de transporte masivo para Bogotá;;Secretaria de Obras Publicas Bogotá;1981
Formar para la democracia: Políticas culturales en el Distrito Capital y sus localidades;;Alcaldía Mayor de Bogotá D.C.;2003
Futuro Capital;Cristina Arango Olaya, Iván Dario Gómez, Paola Osso Andrade;Alcaldia mayor de Bogotá D.C.;2011
Gobernanza de las tecnologias de la información y comunicación;Maria Alexandra Cunha, Klaus Frey, Fabio Duarte.;Champagnat;2009
Guia Critica de la historia y de la historiografía;Armando Saitta;Fondo de cultura económica Mexico;1998
Guía de Campo: Reserva el Romeral;Metropolitana Valle de Aburrá;Ediciones y formas;2011
Historia de la Arquitectura en colombia;Silvia Arango;Universidad Nacional de Colombia;1989
